# omega0=1, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.00, t_end=150.00, h=0.01
#   t          x(t)                 v(t)       
2.764601535158923e+01 -2.547992587779671e+01 -9.367394742345131e-01
2.776025508444703e+01 -2.558846969553896e+01 -9.620321242384845e-01
2.787449481730483e+01 -2.569938833146158e+01 -9.783490131160000e-01
2.798873455016262e+01 -2.581167277952394e+01 -9.860189709970140e-01
2.810297428302042e+01 -2.592436539311024e+01 -9.856065015743790e-01
2.821721401587822e+01 -2.603658455329080e+01 -9.778701748006083e-01
2.833145374873601e+01 -2.614754395076927e+01 -9.637108104369815e-01
2.844569348159381e+01 -2.625656562702368e+01 -9.441149833157121e-01
2.855993321445161e+01 -2.636308655845674e+01 -9.200993394619762e-01
2.867417294730940e+01 -2.646665915181787e+01 -8.926603511825272e-01
2.878841268016720e+01 -2.656694647231396e+01 -8.627327590655633e-01
2.890265241302500e+01 -2.666371330828755e+01 -8.311583968858427e-01
2.901689214588280e+01 -2.675681428633385e+01 -7.986656698731611e-01
2.913113187874059e+01 -2.684618021484507e+01 -7.658588506796177e-01
2.924537161159839e+01 -2.693180369412950e+01 -7.332156474260990e-01
2.935961134445619e+01 -2.701372483244103e+01 -7.010911668465322e-01
2.947385107731398e+01 -2.709201768879084e+01 -6.697263674895475e-01
2.958809081017178e+01 -2.716677785445503e+01 -6.392592759697819e-01
2.970233054302958e+01 -2.723811140374890e+01 -6.097375304810257e-01
2.981657027588738e+01 -2.730612529938923e+01 -5.811311460332642e-01
2.993081000874517e+01 -2.737091922994525e+01 -5.533447143158864e-01
3.004504974160297e+01 -2.743257878327672e+01 -5.262285284081243e-01
3.015928947446077e+01 -2.749116981492591e+01 -4.995883461593276e-01
3.027352920731856e+01 -2.754673384787247e+01 -4.731936746194422e-01
3.038776894017636e+01 -2.759928433384202e+01 -4.467845766080989e-01
3.050200867303416e+01 -2.764880361123890e+01 -4.200770775495909e-01
3.061624840589196e+01 -2.769524040649606e+01 -3.927672949360591e-01
3.073048813874975e+01 -2.773850774093670e+01 -3.645344324742377e-01
3.084472787160755e+01 -2.777848112173510e+01 -3.350427832243840e-01
3.095896760446535e+01 -2.781499691160301e+01 -3.039428767176646e-01
3.107320733732314e+01 -2.784785078637503e+01 -2.708718889734205e-01
3.118744707018094e+01 -2.787679620219257e+01 -2.354534156988762e-01
3.130168680303874e+01 -2.790154280442466e+01 -1.972966916999062e-01
3.141592653589653e+01 -2.792175471920974e+01 -1.559953279272809e-01
3.153016626875433e+01 -2.793704867648468e+01 -1.111256367766920e-01
3.164440600161213e+01 -2.794699192218332e+01 -6.224463294415972e-02
3.175864573446993e+01 -2.795109988942216e+01 -8.887840315588532e-03
3.187288546732772e+01 -2.794883361763580e+01 4.943288274500182e-02
3.198712520018552e+01 -2.793959694009357e+01 1.132311503256229e-01
3.210136493304332e+01 -2.792273351150136e+01 1.830469249827230e-01
3.221560466590112e+01 -2.789752382873993e+01 2.594455818975384e-01
3.232984439875892e+01 -2.786318252291592e+01 3.430138259440161e-01
3.244408413161671e+01 -2.781885638734582e+01 4.343505017749215e-01
3.255832386447451e+01 -2.776362387495300e+01 5.340495160692369e-01
3.267256359733231e+01 -2.769649717251927e+01 6.426710765833178e-01
3.278680333019010e+01 -2.761642845725774e+01 7.606963158567225e-01
3.290104306304790e+01 -2.752232256705011e+01 8.884593172451821e-01
3.301528279590570e+01 -2.741305903656894e+01 1.026050051037007e+00
3.312952252876349e+01 -2.728752716215099e+01 1.173182596865999e+00
3.324376226162129e+01 -2.714467822940660e+01 1.329026623829450e+00
3.335800199447909e+01 -2.698359885638088e+01 1.492008256763714e+00
3.347224172733689e+01 -2.680360793964471e+01 1.659601047588985e+00
3.358648146019468e+01 -2.660437614904014e+01 1.828149418422715e+00
3.370072119305248e+01 -2.638606061648846e+01 1.992792619399984e+00
3.381496092591028e+01 -2.614943842216838e+01 2.147577278172525e+00
3.392920065876807e+01 -2.589601227478479e+01 2.285843540160801e+00
3.404344039162587e+01 -2.562805422870664e+01 2.400923508421221e+00
3.415768012448367e+01 -2.534855397670950e+01 2.487093351857320e+00
3.427191985734147e+01 -2.506105204585822e+01 2.540595906120957e+00
3.438615959019926e+01 -2.476936502338209e+01 2.560459637149136e+00
3.450039932305706e+01 -2.447724180971026e+01 2.548851322211239e+00
3.461463905591486e+01 -2.418801317872503e+01 2.510835835104243e+00
3.472887878877265e+01 -2.390429995991428e+01 2.453619192431546e+00
3.484311852163045e+01 -2.362782626230972e+01 2.385514402556184e+00
3.495735825448825e+01 -2.335935291249967e+01 2.314915493131934e+00
3.507159798734605e+01 -2.309871687899868e+01 2.249493537310581e+00
3.518583772020384e+01 -2.284494512084587e+01 2.195701436031364e+00
3.530007745306164e+01 -2.259640825747388e+01 2.158560409546862e+00
3.541431718591944e+01 -2.235098675248088e+01 2.141636608854722e+00
3.552855691877723e+01 -2.210623403607716e+01 2.147100992097006e+00
3.564279665163503e+01 -2.185953247331389e+01 2.175781905629129e+00
3.575703638449283e+01 -2.160824676757760e+01 2.227150249882506e+00
3.587127611735063e+01 -2.134988425178788e+01 2.299212855051544e+00
3.598551585020842e+01 -2.108227204986077e+01 2.388330177948191e+00
3.609975558306622e+01 -2.080375659293784e+01 2.489022305725578e+00
3.621399531592402e+01 -2.051342062643177e+01 2.593880631827863e+00
3.632823504878181e+01 -2.021129672456830e+01 2.693746143727611e+00
3.644247478163961e+01 -1.989853732113489e+01 2.778315266649865e+00
3.655671451449741e+01 -1.957748680024851e+01 2.837248360830467e+00
3.667095424735520e+01 -1.925160247738515e+01 2.861668176103936e+00
3.678519398021300e+01 -1.892519761497531e+01 2.845702211185531e+00
3.689943371307080e+01 -1.860302893551109e+01 2.787579949450295e+00
3.701367344592860e+01 -1.828980477055288e+01 2.689877699976295e+00
3.712791317878639e+01 -1.798972042694508e+01 2.558813614875969e+00
3.724215291164419e+01 -1.770611683850969e+01 2.402864632111450e+00
3.735639264450199e+01 -1.744131318899320e+01 2.231188456677726e+00
3.747063237735978e+01 -1.719660892727654e+01 2.052295877418109e+00
3.758487211021758e+01 -1.697241062198357e+01 1.873212508259019e+00
3.769911184307538e+01 -1.676842503609445e+01 1.699145373786169e+00
3.781335157593318e+01 -1.658386701695354e+01 1.533530344228876e+00
3.792759130879097e+01 -1.641764802282082e+01 1.378297419231638e+00
3.804183104164877e+01 -1.626852864584898e+01 1.234216806636041e+00
3.815607077450657e+01 -1.613523142765006e+01 1.101237327520888e+00
3.827031050736436e+01 -1.601651772064110e+01 9.787731301752665e-01
3.838455024022216e+01 -1.591123549236362e+01 8.659251934790178e-01
3.849878997307996e+01 -1.581834543917574e+01 7.616409392260471e-01
3.861302970593776e+01 -1.573693191714338e+01 6.648224140186294e-01
3.872726943879555e+01 -1.566620387926052e+01 5.743950130217044e-01
3.884150917165335e+01 -1.560548969224563e+01 4.893475404691771e-01
3.895574890451115e+01 -1.555422859022307e+01 4.087522873610209e-01
3.906998863736894e+01 -1.551196065643902e+01 3.317716437739946e-01
3.918422837022674e+01 -1.547831658874375e+01 2.576559192220281e-01
3.929846810308454e+01 -1.545300805630423e+01 1.857356142895552e-01
3.941270783594234e+01 -1.543581914752183e+01 1.154103425747087e-01
3.952694756880013e+01 -1.542659920214167e+01 4.613587399680462e-02
3.964118730165793e+01 -1.542525718220594e+01 -2.258971500702718e-02
3.975542703451573e+01 -1.543175764282603e+01 -9.124010424082257e-02
3.986966676737352e+01 -1.544611829695290e+01 -1.602744969796291e-01
3.998390650023132e+01 -1.546840911504500e+01 -2.301506520563325e-01
4.009814623308912e+01 -1.549875285012290e+01 -3.013367243838692e-01
4.021238596594691e+01 -1.553732682177912e+01 -3.743213603122355e-01
